08-20 02:51:23.546     0     0 I I00000/HiLog: ========Zeroth log of type: init
08-20 02:51:23.370   474   474 I I02C01/hmos_cust_carrier_mount/CustCarrierMount: MountCarrierToShared start
08-20 02:51:23.370   474   474 I I02C01/hmos_cust_carrier_mount/CustCarrierMount: success to mount carrier to shared
08-20 02:51:23.370   474   474 I I02C01/hmos_cust_carrier_mount/CustCarrierMount: MountCarrierToShared start
08-20 02:51:23.370   474   474 I I02C01/hmos_cust_carrier_mount/CustCarrierMount: success to mount ANCO_APP_DATA to shared
08-20 02:51:26.238   960   960 W I02C01/hmos_cust_carrier_mount/CustCarrierMount: not exsit CUST_GLOBAL_CARRIER_DIR or COTA_PARAM_CARRIER_DIR
08-20 02:51:28.030   840   840 E I04301/light_sensor/LIGHT_SENSOR: AlsGetSpecifyXmlFileName: phoneType error
09-17 10:59:00.006  5011  5115 W A03D00/com.ohos.formrenderservice/JSAPP: WeatherCardClockCardTag TextBuilder with form=221532516,value=1789613940,clockTime=10:59|9月17日周四 八月初七
09-17 10:59:00.041  5598  5598 I A0FF00/com.huawei.hmos.hsdr/HSDRService: onDisconnect, begin
09-17 10:59:00.041  5598  5598 I A0FF00/com.huawei.hmos.hsdr/TimeManager: asyncTerminate, HSDRService begin
09-17 10:59:00.041  5598  5598 I A0FF00/com.huawei.hmos.hsdr/TimeManager: asyncTerminate, HSDRService timeOutId not null
09-17 10:59:00.042  5598  5598 I A0FF00/com.huawei.hmos.hsdr/TrafficHelper: release, begin
09-17 10:59:00.042  5598  5598 I A0FF00/com.huawei.hmos.hsdr/HSDRDataManager: getValue, Succeeded in getting key trafficBeginTime value 2026-09-01
09-17 10:59:00.042  5598  5598 I A0FF00/com.huawei.hmos.hsdr/TrafficHelper: getTrafficCost, begin
09-17 10:59:00.051  5598  5598 I A0FF00/com.huawei.hmos.hsdr/TrafficHelper: updateDefaultTraffic, begin
09-17 10:59:00.051  5598  5598 I A0FF00/com.huawei.hmos.hsdr/NetUtils: getNetType, begin
09-17 10:59:00.053  5598  5598 I A0FF00/com.huawei.hmos.hsdr/NetUtils: getNetCapabilities, get data success
09-17 10:59:00.053  5598  5598 I A0FF00/com.huawei.hmos.hsdr/NetUtils: getNetType, BEARER_WIFI
09-17 10:59:00.053  5598  5598 I A0FF00/com.huawei.hmos.hsdr/NetUtils: getNetType, begin
09-17 10:59:00.055  5598  5598 I A0FF00/com.huawei.hmos.hsdr/NetUtils: getNetCapabilities, get data success
